month,optimism,uncertainty,taxes,labor_quality,inflation,labor_costs,poor_sales,insurance,regulations,competition,interest_rates
1974-11-01,89.4,,,,,,,,,,
1974-12-01,,,,,,,,,,,
1975-01-01,,,,,,,,,,,
1975-02-01,86.5,,,,,,,,,,
1975-03-01,,,,,,,,,,,
1975-04-01,,,,,,,,,,,
1975-05-01,94.8,,,,,,,,,,
1975-06-01,,,,,,,,,,,
1975-07-01,,,,,,,,,,,
1975-08-01,99.7,,,,,,,,,,
1975-09-01,,,,,,,,,,,
1975-10-01,,,,,,,,,,,
1975-11-01,100.3,,,,,,,,,,
1975-12-01,,,,,,,,,,,
1976-01-01,,,,,,,,,,,
1976-02-01,101.8,,,,,,,,,,
1976-03-01,,,,,,,,,,,
1976-04-01,,,,,,,,,,,
1976-05-01,102.8,,,,,,,,,,
1976-06-01,,,,,,,,,,,
1976-07-01,,,,,,,,,,,
1976-08-01,102.4,,,,,,,,,,
1976-09-01,,,,,,,,,,,
1976-10-01,,,,,,,,,,,
1976-11-01,101.0,,,,,,,,,,
1976-12-01,,,,,,,,,,,
1977-01-01,,,,,,,,,,,
1977-02-01,102.5,,,,,,,,,,
1977-03-01,,,,,,,,,,,
1977-04-01,,,,,,,,,,,
1977-05-01,102.6,,,,,,,,,,
1977-06-01,,,,,,,,,,,
1977-07-01,,,,,,,,,,,
1977-08-01,102.1,,,,,,,,,,
1977-09-01,,,,,,,,,,,
1977-10-01,,,,,,,,,,,
1977-11-01,99.3,,,,,,,,,,
1977-12-01,,,,,,,,,,,
1978-01-01,,,,,,,,,,,
1978-02-01,100.4,,,,,,,,,,
1978-03-01,,,,,,,,,,,
1978-04-01,,,,,,,,,,,
1978-05-01,98.9,,,,,,,,,,
1978-06-01,,,,,,,,,,,
1978-07-01,,,,,,,,,,,
1978-08-01,97.5,,,,,,,,,,
1978-09-01,,,,,,,,,,,
1978-10-01,,,,,,,,,,,
1978-11-01,99.4,,,,,,,,,,
1978-12-01,,,,,,,,,,,
1979-01-01,,,,,,,,,,,
1979-02-01,94.8,,,,,,,,,,
1979-03-01,,,,,,,,,,,
1979-04-01,,,,,,,,,,,
1979-05-01,93.9,,,,,,,,,,
1979-06-01,,,,,,,,,,,
1979-07-01,,,,,,,,,,,
1979-08-01,90.5,,,,,,,,,,
1979-09-01,,,,,,,,,,,
1979-10-01,,,,,,,,,,,
1979-11-01,93.3,,,,,,,,,,
1979-12-01,,,,,,,,,,,
1980-01-01,,,,,,,,,,,
1980-02-01,92.0,,,,,,,,,,
1980-03-01,,,,,,,,,,,
1980-04-01,,,,,,,,,,,
1980-05-01,79.7,,,,,,,,,,
1980-06-01,,,,,,,,,,,
1980-07-01,,,,,,,,,,,
1980-08-01,94.9,,,,,,,,,,
1980-09-01,,,,,,,,,,,
1980-10-01,,,,,,,,,,,
1980-11-01,96.9,,,,,,,,,,
1980-12-01,,,,,,,,,,,
1981-01-01,,,,,,,,,,,
1981-02-01,95.7,,,,,,,,,,
1981-03-01,,,,,,,,,,,
1981-04-01,,,,,,,,,,,
1981-05-01,97.1,,,,,,,,,,
1981-06-01,,,,,,,,,,,
1981-07-01,,,,,,,,,,,
1981-08-01,99.3,,,,,,,,,,
1981-09-01,,,,,,,,,,,
1981-10-01,,,,,,,,,,,
1981-11-01,94.4,,,,,,,,,,
1981-12-01,,,,,,,,,,,
1982-01-01,,,,,,,,,,,
1982-02-01,94.8,,,,,,,,,,
1982-03-01,,,,,,,,,,,
1982-04-01,,,,,,,,,,,
1982-05-01,94.4,,,,,,,,,,
1982-06-01,,,,,,,,,,,
1982-07-01,,,,,,,,,,,
1982-08-01,95.1,,,,,,,,,,
1982-09-01,,,,,,,,,,,
1982-10-01,,,,,,,,,,,
1982-11-01,97.9,,,,,,,,,,
1982-12-01,,,,,,,,,,,
1983-01-01,,,,,,,,,,,
1983-02-01,99.9,,,,,,,,,,
1983-03-01,,,,,,,,,,,
1983-04-01,,,,,,,,,,,
1983-05-01,104.9,,,,,,,,,,
1983-06-01,,,,,,,,,,,
1983-07-01,,,,,,,,,,,
1983-08-01,108.0,,,,,,,,,,
1983-09-01,,,,,,,,,,,
1983-10-01,,,,,,,,,,,
1983-11-01,107.0,,,,,,,,,,
1983-12-01,,,,,,,,,,,
1984-01-01,,,,,,,,,,,
1984-02-01,107.1,,,,,,,,,,
1984-03-01,,,,,,,,,,,
1984-04-01,,,,,,,,,,,
1984-05-01,103.9,,,,,,,,,,
1984-06-01,,,,,,,,,,,
1984-07-01,,,,,,,,,,,
1984-08-01,100.2,,,,,,,,,,
1984-09-01,,,,,,,,,,,
1984-10-01,,,,,,,,,,,
1984-11-01,102.7,,,,,,,,,,
1984-12-01,,,,,,,,,,,
1985-01-01,,,,,,,,,,,
1985-02-01,102.9,,,,,,,,,,
1985-03-01,,,,,,,,,,,
1985-04-01,,,,,,,,,,,
1985-05-01,100.2,,,,,,,,,,
1985-06-01,,,,,,,,,,,
1985-07-01,,,,,,,,,,,
1985-08-01,101.4,,,,,,,,,,
1985-09-01,,,,,,,,,,,
1985-10-01,,,,,,,,,,,
1985-11-01,98.8,,,,,,,,,,
1985-12-01,,,,,,,,,,,
1986-01-01,100.3,57,22,7,3,6,14,0,10,12,9
1986-02-01,99.8,60,20,6,3,5,16,0,12,11,9
1986-03-01,101.5,55,21,8,3,3,15,0,9,12,9
1986-04-01,101.0,53,20,7,2,5,16,0,10,12,8
1986-05-01,102.0,50,20,7,3,5,14,0,13,12,5
1986-06-01,101.3,63,21,7,3,5,17,1,8,9,7
1986-07-01,99.8,56,19,7,2,5,15,0,12,11,7
1986-08-01,98.8,49,21,7,2,5,18,0,11,12,6
1986-09-01,98.6,60,19,8,3,6,15,0,11,11,6
1986-10-01,98.8,60,21,8,3,4,16,1,12,11,5
1986-11-01,97.5,55,21,8,3,3,17,1,10,13,5
1986-12-01,100.7,59,23,9,3,5,16,0,11,12,5
1987-01-01,100.1,59,21,8,3,5,15,1,13,12,5
1987-02-01,100.6,60,23,7,3,5,18,1,12,10,6
1987-03-01,101.2,57,20,7,4,4,16,0,14,11,7
1987-04-01,100.1,63,23,8,3,6,14,1,12,11,6
1987-05-01,99.9,60,25,7,3,5,14,0,15,11,6
1987-06-01,101.7,60,24,9,3,7,12,1,12,11,7
1987-07-01,102.5,61,25,9,2,6,13,0,15,11,7
1987-08-01,103.7,66,23,9,3,6,12,0,12,13,6
1987-09-01,102.4,59,25,9,3,6,10,1,15,10,6
1987-10-01,101.6,62,23,8,3,6,13,1,12,10,8
1987-11-01,98.6,59,23,10,3,7,13,1,12,12,8
1987-12-01,100.0,63,24,10,3,6,12,1,15,11,6
1988-01-01,100.4,58,23,7,5,4,10,0,18,11,5
1988-02-01,99.1,62,24,9,3,4,15,1,13,13,6
1988-03-01,101.6,61,25,7,3,6,12,0,16,12,6
1988-04-01,100.6,64,25,10,3,7,10,1,15,12,6
1988-05-01,101.0,66,24,9,2,7,10,1,15,10,8
1988-06-01,101.7,61,24,10,3,6,11,0,15,9,7
1988-07-01,100.1,66,25,10,4,6,11,1,17,11,5
1988-08-01,101.6,66,25,11,3,9,7,1,12,10,6
1988-09-01,100.8,65,19,12,3,7,8,1,18,11,8
1988-10-01,102.1,67,23,12,2,6,11,1,14,11,7
1988-11-01,101.8,65,24,11,4,8,10,0,13,11,9
1988-12-01,100.5,65,22,8,4,6,9,2,14,14,9
1989-01-01,101.3,69,22,10,3,6,10,1,19,12,9
1989-02-01,101.9,65,21,9,2,8,10,1,17,12,10
1989-03-01,101.4,64,23,10,2,9,7,0,15,12,8
1989-04-01,98.0,63,22,9,4,7,10,1,16,9,11
1989-05-01,97.3,61,23,11,4,4,7,0,19,10,9
1989-06-01,99.4,62,20,10,6,6,10,1,17,11,10
1989-07-01,99.6,61,21,10,4,7,10,0,17,10,10
1989-08-01,99.6,65,22,10,4,7,9,0,19,10,10
1989-09-01,101.9,63,23,11,2,7,10,0,16,13,8
1989-10-01,101.4,64,22,11,4,7,11,0,17,11,7
1989-11-01,99.7,60,21,13,4,8,8,1,16,9,8
1989-12-01,100.3,60,21,8,5,5,10,0,19,12,7
1990-01-01,99.3,60,22,10,4,7,11,0,18,10,7
1990-02-01,99.2,60,18,10,4,5,12,0,20,11,9
1990-03-01,100.4,61,24,9,4,4,9,1,18,11,7
1990-04-01,99.3,62,23,9,4,7,10,0,18,9,7
1990-05-01,99.4,64,24,11,4,6,10,0,18,9,8
1990-06-01,98.7,59,22,9,3,7,9,1,19,12,7
1990-07-01,97.9,59,23,10,4,8,11,0,18,9,7
1990-08-01,95.2,52,22,10,4,6,11,0,19,10,7
1990-09-01,92.9,54,24,10,5,6,12,1,15,10,6
1990-10-01,91.6,50,22,9,6,5,13,0,17,9,7
1990-11-01,91.8,47,22,11,5,5,14,0,14,9,7
1990-12-01,91.7,45,23,7,7,6,15,0,17,7,6
1991-01-01,91.2,52,25,7,4,5,15,0,17,9,6
1991-02-01,95.4,51,24,6,5,6,14,0,18,7,7
1991-03-01,100.1,52,23,7,4,6,14,0,17,11,6
1991-04-01,100.2,53,24,6,3,6,17,0,18,10,5
1991-05-01,99.4,51,23,7,5,6,18,0,16,8,5
1991-06-01,99.6,57,21,6,5,5,15,0,21,9,5
1991-07-01,100.6,57,24,8,4,7,15,0,17,8,5
1991-08-01,98.4,48,26,7,4,5,18,0,16,8,6
1991-09-01,99.4,53,26,7,3,6,14,0,17,9,6
1991-10-01,97.8,49,25,6,5,5,17,0,18,8,5
1991-11-01,95.3,50,24,5,4,5,19,0,16,9,5
1991-12-01,95.8,47,25,5,5,5,21,0,16,7,4
1992-01-01,96.7,51,24,5,4,5,19,0,18,8,4
1992-02-01,98.4,53,23,4,3,6,18,0,20,9,5
1992-03-01,100.1,61,24,5,4,5,18,0,21,8,4
1992-04-01,100.6,56,23,5,4,4,16,0,23,9,4
1992-05-01,100.8,56,24,5,4,5,15,0,22,7,5
1992-06-01,101.2,56,25,5,3,5,14,0,19,11,5
1992-07-01,99.0,55,25,5,3,5,17,0,21,7,4
1992-08-01,99.9,56,22,4,3,6,16,0,22,10,5
1992-09-01,98.6,56,22,5,3,5,16,0,23,8,4
1992-10-01,98.0,56,24,4,3,5,18,1,22,8,3
1992-11-01,100.4,60,25,5,3,6,16,0,20,9,4
1992-12-01,100.7,63,25,4,3,5,13,1,24,10,3
1993-01-01,100.6,65,25,6,3,5,14,0,22,10,3
1993-02-01,98.3,61,25,4,3,5,13,1,23,10,4
1993-03-01,97.4,63,25,5,3,6,15,1,22,7,4
1993-04-01,95.4,61,24,4,3,5,13,13,22,8,4
1993-05-01,93.7,61,24,4,2,5,12,16,20,8,4
1993-06-01,92.9,59,25,5,3,5,13,12,20,8,4
1993-07-01,93.8,60,26,6,2,4,14,12,22,8,3
1993-08-01,92.4,61,29,5,2,5,13,10,19,10,3
1993-09-01,94.1,54,27,6,2,5,12,11,19,10,3
1993-10-01,94.9,54,27,6,2,5,12,12,21,8,2
1993-11-01,98.5,61,27,5,2,5,10,11,24,7,4
1993-12-01,98.1,62,23,5,2,5,11,14,23,8,2
1994-01-01,99.6,64,26,6,2,6,11,11,23,7,3
1994-02-01,99.9,63,24,7,1,5,11,12,24,9,5
1994-03-01,100.1,65,25,7,2,5,9,10,25,7,4
1994-04-01,98.0,67,25,7,2,6,10,10,23,8,4
1994-05-01,98.5,70,27,5,1,5,8,10,26,8,4
1994-06-01,98.9,67,27,8,2,4,9,11,22,7,4
1994-07-01,98.7,65,26,9,2,4,9,10,23,10,4
1994-08-01,99.0,66,23,9,1,6,8,9,27,10,5
1994-09-01,99.4,67,26,11,1,7,7,9,23,8,5
1994-10-01,99.9,65,25,9,2,4,9,9,24,8,5
1994-11-01,103.7,67,25,10,1,5,8,8,21,8,6
1994-12-01,101.2,73,26,7,2,5,9,9,22,9,6
1995-01-01,101.8,70,24,8,1,5,8,9,23,11,6
1995-02-01,100.7,71,23,10,2,6,7,8,21,10,6
1995-03-01,100.5,71,24,8,2,4,8,10,20,11,7
1995-04-01,100.2,69,27,9,2,5,10,8,19,10,6
1995-05-01,99.6,68,28,8,2,3,9,7,22,11,6
1995-06-01,99.6,67,27,9,2,6,7,8,21,11,3
1995-07-01,100.3,69,25,10,2,5,10,10,19,9,5
1995-08-01,100.3,69,25,8,2,7,10,7,20,13,5
1995-09-01,101.6,66,26,12,3,5,9,8,17,12,5
1995-10-01,101.3,68,30,12,2,5,6,8,18,9,5
1995-11-01,101.8,71,29,12,2,5,7,7,18,12,4
1995-12-01,101.1,69,25,12,1,6,10,8,20,10,4
1996-01-01,99.6,69,27,11,2,5,9,6,19,11,4
1996-02-01,100.2,69,28,9,2,6,8,9,20,9,4
1996-03-01,100.8,71,27,10,2,4,9,8,21,11,4
1996-04-01,99.6,68,29,12,1,5,9,7,18,10,4
1996-05-01,99.4,69,28,12,2,5,9,6,16,10,4
1996-06-01,101.4,75,26,17,1,4,9,8,15,10,5
1996-07-01,99.8,71,26,12,1,6,9,7,17,11,4
1996-08-01,100.1,69,29,12,2,4,7,9,19,8,4
1996-09-01,100.5,80,27,13,2,5,9,7,17,9,4
1996-10-01,101.2,72,27,15,1,5,7,7,16,11,4
1996-11-01,98.9,72,25,13,1,6,7,7,18,12,3
1996-12-01,99.8,66,28,12,1,6,7,8,16,13,3
1997-01-01,100.9,72,28,13,2,7,7,7,17,9,3
1997-02-01,101.9,68,32,12,2,5,7,6,16,11,5
1997-03-01,100.5,69,29,12,1,4,9,6,18,9,4
1997-04-01,100.5,72,28,13,1,6,6,6,17,11,5
1997-05-01,100.7,73,29,12,1,5,8,6,18,12,3
1997-06-01,102.7,72,30,13,1,5,6,5,17,13,4
1997-07-01,103.8,70,28,14,1,7,7,6,16,11,4
1997-08-01,103.8,68,25,18,1,5,6,5,18,14,3
1997-09-01,102.7,71,27,17,1,5,9,4,17,10,3
1997-10-01,103.9,65,26,16,1,6,8,6,16,12,4
1997-11-01,103.3,74,25,17,1,5,8,5,16,12,4
1997-12-01,102.3,68,27,16,2,5,8,5,16,13,2
1998-01-01,102.1,71,28,16,1,7,5,6,17,12,3
1998-02-01,101.9,74,25,17,1,6,6,7,18,12,3
1998-03-01,101.7,67,27,18,1,7,9,5,16,9,4
1998-04-01,102.8,72,29,17,1,5,7,5,15,13,3
1998-05-01,101.6,71,26,14,1,6,6,4,15,17,3
1998-06-01,100.7,71,30,16,1,6,8,5,16,11,3
1998-07-01,101.5,73,26,19,1,7,7,5,16,11,3
1998-08-01,101.9,66,25,20,1,7,7,7,14,11,3
1998-09-01,99.5,73,24,21,0,6,7,6,15,10,3
1998-10-01,99.9,69,23,21,1,7,9,6,15,11,2
1998-11-01,100.7,68,22,23,2,9,8,6,13,11,3
1998-12-01,101.5,63,25,16,1,7,7,7,16,13,3
1999-01-01,100.5,71,27,18,1,6,7,6,14,13,3
1999-02-01,100.7,74,27,16,1,6,6,7,14,14,3
1999-03-01,100.9,64,24,18,1,8,10,7,13,12,3
1999-04-01,101.0,71,27,18,1,6,8,6,14,14,2
1999-05-01,99.6,70,28,18,1,7,9,6,15,10,3
1999-06-01,100.7,78,26,17,2,7,7,7,13,13,5
1999-07-01,100.9,72,26,21,1,7,7,6,15,12,2
1999-08-01,100.5,77,25,18,2,7,8,6,15,13,3
1999-09-01,102.3,65,24,15,2,7,9,8,15,11,4
1999-10-01,101.3,73,26,22,1,7,7,7,15,10,3
1999-11-01,102.9,71,24,20,3,7,9,7,12,12,3
1999-12-01,103.0,66,24,23,1,8,7,7,15,10,3
2000-01-01,103.4,72,25,21,1,8,7,6,15,11,4
2000-02-01,101.0,74,25,21,2,7,6,7,15,11,3
2000-03-01,101.7,67,23,23,1,8,8,5,14,11,4
2000-04-01,100.4,75,24,23,1,7,7,7,14,11,4
2000-05-01,100.0,74,26,24,1,6,6,7,14,10,3
2000-06-01,98.4,74,23,20,2,8,7,6,14,11,5
2000-07-01,101.4,69,25,20,2,7,6,8,13,11,5
2000-08-01,101.7,75,25,23,2,6,6,8,9,10,6
2000-09-01,101.1,74,23,23,2,7,9,9,10,11,4
2000-10-01,99.3,74,26,22,3,6,7,7,12,10,4
2000-11-01,99.4,74,23,19,3,9,7,10,12,10,4
2000-12-01,96.7,70,19,23,3,7,11,10,11,10,4
2001-01-01,96.4,68,24,19,3,7,9,8,12,11,3
2001-02-01,98.5,69,22,19,3,6,12,8,12,11,4
2001-03-01,98.4,71,25,17,4,6,15,8,10,8,3
2001-04-01,98.1,66,27,15,3,6,12,9,13,9,3
2001-05-01,99.1,64,24,17,4,6,12,11,10,10,4
2001-06-01,97.6,64,23,15,4,6,9,11,13,11,4
2001-07-01,98.8,67,21,16,2,6,14,12,11,10,3
2001-08-01,101.3,69,20,17,3,7,13,15,12,9,2
2001-09-01,96.2,62,23,19,3,5,14,11,9,13,3
2001-10-01,96.2,64,21,15,2,6,16,14,11,10,2
2001-11-01,99.1,59,20,18,2,6,17,13,11,9,2
2001-12-01,100.3,64,20,13,1,4,18,12,12,14,2
2002-01-01,100.6,67,24,11,2,6,17,15,11,10,2
2002-02-01,100.4,69,22,12,3,5,14,13,11,14,2
2002-03-01,104.2,66,19,11,2,5,17,19,10,11,3
2002-04-01,101.8,66,20,12,2,5,14,16,13,11,3
2002-05-01,101.9,71,23,12,1,6,15,18,11,9,2
2002-06-01,102.6,70,21,12,2,7,14,20,11,8,2
2002-07-01,99.8,66,20,12,2,6,15,18,10,10,4
2002-08-01,101.3,70,22,10,2,5,16,19,9,9,2
2002-09-01,101.0,69,21,10,2,3,19,21,9,11,2
